Student_ID,Attendance,Internal_Marks,Previous_CGPA,Assignment_Score,Assignment_Submission,Study_Hours,Backlogs,Sleep_Hours,Previous_Failures,Risk_Category,Risk_Label
STU0119,75.2,71.6,6.1,77.7,95.1,2.3,3,6.7,1,1,Medium Risk
STU0120,91.8,91.8,3.77,57.0,65.6,4.4,4,8.9,0,0,Low Risk
STU0121,70.9,83.0,8.89,70.5,88.9,0.4,1,9.5,0,0,Low Risk
STU0122,70.9,70.5,6.19,59.5,67.9,0.8,2,9.0,1,1,Medium Risk
STU0123,81.2,29.2,7.34,61.9,65.4,4.7,0,6.3,0,1,Medium Risk
STU0124,58.4,34.9,5.99,70.2,83.0,3.1,5,7.4,1,1,Medium Risk
STU0125,74.4,29.7,7.69,77.1,77.0,2.5,0,6.7,0,1,Medium Risk
STU0126,84.8,32.5,8.23,59.8,47.1,3.3,3,7.9,0,1,Medium Risk
STU0127,58.7,80.0,6.21,77.2,82.8,1.1,0,6.6,0,0,Low Risk
STU0128,82.9,83.5,3.06,73.4,100.0,3.1,0,7.5,0,1,Medium Risk
STU0129,37.8,50.0,8.01,82.6,56.0,4.6,1,4.6,0,1,Medium Risk
STU0130,46.8,83.3,8.95,62.1,85.2,4.4,1,8.0,0,1,Medium Risk
STU0131,67.2,37.0,7.98,61.7,100.0,2.5,0,4.1,0,1,Medium Risk
STU0132,64.7,73.3,8.64,86.6,91.8,0.9,4,5.6,1,1,Medium Risk
STU0133,73.9,28.8,5.04,52.6,83.1,5.4,1,6.7,2,1,Medium Risk
STU0134,86.4,70.8,4.18,33.7,56.1,4.1,2,6.8,0,1,Medium Risk
STU0135,58.4,34.1,8.79,70.6,99.1,1.7,0,6.5,2,1,Medium Risk
STU0136,57.2,67.1,9.35,57.6,65.6,5.2,3,8.5,0,1,Medium Risk
STU0137,81.0,80.6,7.74,69.4,87.5,3.4,0,8.2,1,1,Medium Risk
STU0138,46.0,45.0,7.27,60.6,93.3,4.4,4,8.8,1,1,Medium Risk
STU0139,43.2,78.8,6.35,45.8,93.2,3.7,0,7.2,1,1,Medium Risk
STU0140,32.8,100.0,3.33,54.6,80.0,3.2,1,6.5,0,1,Medium Risk
STU0141,53.0,33.0,7.17,29.7,72.3,4.2,5,6.5,1,1,Medium Risk
STU0142,50.4,51.3,6.24,66.9,83.1,3.1,0,5.6,0,1,Medium Risk
STU0143,59.2,76.4,6.79,71.3,82.9,1.9,1,7.1,0,1,Medium Risk
STU0144,47.7,76.2,9.65,80.0,95.0,1.7,2,7.1,0,0,Low Risk
STU0145,83.8,73.2,4.09,54.3,93.9,3.4,5,3.3,0,1,Medium Risk
STU0146,72.7,72.3,5.0,40.5,100.0,1.7,1,4.5,4,1,Medium Risk
STU0147,92.4,49.3,6.51,66.1,88.1,1.3,2,6.5,0,1,Medium Risk
STU0148,67.9,72.7,6.78,69.3,88.8,0.0,0,5.9,0,0,Low Risk
STU0149,53.4,53.2,6.29,80.6,85.4,1.1,1,6.2,0,1,Medium Risk
STU0150,63.3,80.5,7.96,50.9,65.1,0.5,0,8.3,1,1,Medium Risk
STU0151,70.6,73.9,7.52,91.2,28.7,2.6,5,4.2,3,1,Medium Risk
STU0152,48.8,48.8,5.27,25.9,99.0,1.6,0,7.6,1,2,High Risk
STU0153,60.6,71.4,5.57,79.1,85.1,3.2,3,12.0,4,1,Medium Risk
STU0154,70.2,60.6,7.17,19.9,71.7,0.7,0,7.8,1,1,Medium Risk
STU0155,88.9,58.6,6.52,88.5,23.5,2.9,0,8.2,2,1,Medium Risk
STU0156,73.8,46.4,7.07,60.9,98.2,3.2,1,6.9,0,1,Medium Risk
STU0157,67.3,79.0,4.84,75.5,69.1,3.4,3,7.4,1,1,Medium Risk
STU0158,64.6,42.0,7.44,81.5,94.1,0.7,0,6.1,1,1,Medium Risk
STU0159,62.9,75.4,4.66,82.9,82.3,6.1,4,8.9,1,1,Medium Risk
STU0160,83.1,82.9,5.93,79.8,88.8,3.8,0,8.0,2,1,Medium Risk
STU0161,78.1,81.7,6.58,79.2,89.7,3.3,0,8.7,0,0,Low Risk
STU0162,75.7,74.2,5.4,46.1,80.0,3.2,1,6.9,0,1,Medium Risk
STU0163,52.5,62.3,4.87,50.8,43.8,0.0,0,9.4,1,1,Medium Risk
STU0164,64.5,81.3,7.25,62.3,32.7,2.3,0,9.1,0,1,Medium Risk
STU0165,53.3,23.4,9.08,56.6,94.1,3.2,0,7.5,0,1,Medium Risk
STU0166,88.1,74.7,8.61,89.0,94.2,0.9,1,6.5,0,0,Low Risk
STU0167,83.1,92.5,2.85,72.2,89.2,3.2,0,9.1,0,0,Low Risk
STU0168,58.1,58.0,4.02,66.6,98.2,2.1,1,5.4,3,2,High Risk
STU0169,87.4,60.3,3.46,91.4,50.2,1.9,1,4.7,0,1,Medium Risk
STU0170,40.6,79.5,4.05,83.1,95.3,2.7,1,7.6,0,1,Medium Risk
STU0171,91.3,46.0,4.09,80.1,81.9,2.4,1,7.1,0,1,Medium Risk
STU0172,64.3,70.5,6.57,55.2,44.8,3.2,2,7.0,1,1,Medium Risk
STU0173,48.9,71.1,8.54,76.4,70.0,3.6,0,6.8,0,1,Medium Risk
STU0174,79.6,20.9,4.87,75.0,92.6,4.3,1,8.4,2,1,Medium Risk
STU0175,77.1,80.7,3.27,56.8,91.0,3.4,1,7.7,0,1,Medium Risk
STU0176,79.2,83.9,8.36,58.8,48.1,4.4,0,5.8,0,0,Low Risk
STU0177,77.8,31.1,7.62,38.4,65.6,0.4,1,7.4,0,1,Medium Risk
STU0178,21.3,23.2,6.84,8.2,21.0,2.7,0,7.6,2,2,High Risk
STU0179,65.9,84.6,8.4,72.0,51.2,1.1,0,6.1,0,0,Low Risk
STU0180,66.5,84.6,8.94,33.9,71.5,0.7,0,5.9,3,1,Medium Risk
STU0181,55.1,52.7,7.68,48.6,87.5,2.5,1,8.5,0,1,Medium Risk
STU0182,83.0,89.6,5.7,71.2,51.7,4.7,3,7.3,0,1,Medium Risk
STU0183,46.7,32.0,7.71,54.1,71.5,1.1,0,7.2,0,2,High Risk
STU0184,67.2,20.4,8.6,87.8,45.5,6.1,0,6.1,0,1,Medium Risk
STU0185,67.5,78.7,6.91,65.1,100.0,3.0,0,6.7,1,1,Medium Risk
STU0186,56.3,49.2,8.23,100.0,90.4,5.1,0,9.1,1,1,Medium Risk
STU0187,78.1,25.8,3.33,56.3,74.5,0.0,3,12.0,0,1,Medium Risk
STU0188,67.7,83.3,6.83,79.5,100.0,2.7,1,5.2,0,0,Low Risk
STU0189,71.0,78.3,5.41,78.5,83.1,3.8,1,8.2,0,1,Medium Risk
STU0190,82.5,56.7,8.49,90.8,93.7,1.1,1,7.0,0,0,Low Risk
STU0191,62.2,69.7,5.15,71.2,40.0,3.6,3,8.7,0,1,Medium Risk
STU0192,57.2,35.3,6.48,74.7,54.4,3.7,0,7.6,1,1,Medium Risk
STU0193,56.9,56.8,7.47,84.1,90.0,4.1,0,7.6,1,0,Low Risk
STU0194,73.6,76.0,8.0,83.2,62.2,4.0,0,7.1,0,1,Medium Risk
STU0195,48.8,16.9,9.64,41.5,40.7,3.2,1,7.1,0,1,Medium Risk
STU0196,61.5,77.6,6.96,74.9,76.4,1.4,1,6.3,3,1,Medium Risk
STU0197,94.3,43.5,5.11,72.9,100.0,3.0,0,7.2,1,1,Medium Risk
STU0198,69.6,6.9,6.32,88.9,54.5,4.3,1,6.6,1,1,Medium Risk
STU0199,67.4,80.7,7.25,70.7,60.5,4.2,0,5.9,1,1,Medium Risk
STU0200,68.5,48.7,3.92,96.3,96.0,6.2,1,8.9,1,1,Medium Risk
STU0201,49.2,40.6,7.09,65.9,91.8,3.7,0,5.7,0,1,Medium Risk
STU0202,48.0,8.3,5.62,60.9,84.5,3.5,0,6.1,0,2,High Risk
STU0203,35.4,80.0,8.35,64.4,97.2,2.4,0,5.6,0,1,Medium Risk
STU0204,41.8,33.4,5.96,99.1,81.3,3.7,0,8.4,0,1,Medium Risk
STU0205,51.6,86.9,7.48,64.8,87.5,3.3,0,7.7,2,1,Medium Risk
STU0206,44.2,68.6,5.74,50.2,50.3,1.5,0,9.0,0,1,Medium Risk
STU0207,52.8,52.2,8.36,40.2,92.8,2.1,1,8.2,0,1,Medium Risk
STU0208,79.8,48.6,7.8,80.5,93.3,2.6,0,5.4,1,0,Low Risk
STU0209,81.2,77.7,9.61,82.9,73.2,4.1,1,4.9,0,0,Low Risk
STU0210,89.2,53.3,4.49,81.6,90.4,2.3,0,5.1,1,1,Medium Risk
STU0211,86.9,79.3,6.22,44.3,51.7,2.0,3,8.5,0,1,Medium Risk
STU0212,86.4,44.4,8.44,91.8,62.2,1.0,1,5.3,0,1,Medium Risk
STU0213,38.0,77.9,7.14,89.2,76.1,0.0,2,6.5,0,1,Medium Risk
STU0214,52.7,62.2,8.15,47.0,76.8,0.4,1,7.0,0,1,Medium Risk
STU0215,28.6,79.5,9.96,41.1,85.0,5.8,0,6.8,1,1,Medium Risk
STU0216,50.3,75.6,7.21,77.3,90.7,4.0,0,7.2,0,1,Medium Risk
STU0217,58.3,36.6,4.9,63.2,91.9,2.7,0,6.7,2,1,Medium Risk
STU0218,72.6,81.1,2.71,62.0,35.1,4.3,2,5.2,1,1,Medium Risk
STU0219,34.9,53.1,8.46,92.0,21.6,2.7,1,5.2,0,1,Medium Risk
STU0220,88.8,59.7,6.66,79.1,89.2,0.0,0,7.1,1,0,Low Risk
STU0221,85.9,71.4,9.08,61.9,73.2,4.3,4,8.6,0,0,Low Risk
STU0222,73.3,72.8,5.34,76.8,95.8,4.2,0,6.2,0,1,Medium Risk
STU0223,81.9,86.6,7.08,93.6,71.0,4.3,1,6.8,0,1,Medium Risk
STU0224,19.7,91.4,5.7,69.6,98.7,3.8,2,6.0,2,1,Medium Risk
STU0225,52.5,65.7,3.91,75.0,94.2,1.6,0,8.0,0,1,Medium Risk
STU0226,62.0,75.9,6.6,68.0,74.2,3.1,0,8.1,0,1,Medium Risk
STU0227,84.1,80.2,8.88,48.2,17.5,2.1,0,7.1,2,1,Medium Risk
STU0228,74.4,35.0,8.3,74.0,70.4,3.8,0,7.0,0,1,Medium Risk
STU0229,53.4,81.9,5.74,52.9,96.1,2.1,0,6.9,0,0,Low Risk
STU0230,32.6,24.7,8.12,83.6,96.6,2.7,1,6.2,1,1,Medium Risk
STU0231,71.2,84.6,9.3,49.0,76.2,4.1,1,5.3,0,1,Medium Risk
STU0232,30.2,28.8,6.32,82.5,88.4,1.2,0,6.0,0,1,Medium Risk
STU0233,67.2,23.8,5.45,81.9,86.6,5.7,2,7.7,0,1,Medium Risk
STU0234,59.1,32.0,6.58,60.3,95.4,3.7,1,8.7,0,1,Medium Risk
STU0235,44.9,63.0,6.13,61.6,56.4,3.3,1,5.2,0,1,Medium Risk
STU0236,57.8,83.4,4.36,65.6,24.6,1.3,0,6.4,0,1,Medium Risk
STU0237,37.9,76.2,7.83,80.7,51.5,4.7,0,8.0,1,1,Medium Risk
STU0238,55.9,60.2,6.03,62.5,77.9,1.7,1,3.3,0,1,Medium Risk
STU0239,73.9,75.0,6.58,93.8,50.1,4.3,1,3.0,0,0,Low Risk
STU0240,78.7,85.7,5.63,66.6,88.8,1.5,0,7.7,1,1,Medium Risk
STU0241,72.3,34.8,5.88,67.6,46.3,3.3,2,5.7,2,1,Medium Risk
STU0242,75.7,79.2,4.59,51.1,86.3,4.0,0,5.9,0,1,Medium Risk
STU0243,85.7,47.7,4.37,87.9,88.1,3.4,2,7.8,3,1,Medium Risk
STU0244,62.5,54.1,7.86,60.5,78.2,0.9,5,7.2,2,2,High Risk
STU0245,84.4,58.9,5.06,42.1,71.3,2.2,2,6.4,0,1,Medium Risk
STU0246,34.0,60.1,8.95,89.4,91.5,3.4,0,6.2,0,1,Medium Risk
STU0247,79.3,75.5,2.03,85.0,76.5,4.3,0,7.7,0,1,Medium Risk
STU0248,41.9,54.0,4.25,58.6,93.9,2.2,3,5.6,0,2,High Risk
STU0249,61.6,62.3,5.31,64.3,94.2,2.0,0,5.2,1,1,Medium Risk
STU0250,81.7,28.1,5.28,44.3,98.8,2.0,0,4.9,2,1,Medium Risk
STU0251,27.3,68.1,6.59,93.8,96.6,2.6,0,8.9,0,1,Medium Risk
STU0252,80.2,61.9,6.3,60.5,39.0,2.0,0,8.5,0,1,Medium Risk
STU0253,29.9,79.7,6.29,48.5,21.1,6.1,3,6.6,2,2,High Risk
STU0254,33.2,50.8,4.72,76.9,79.3,4.6,0,5.8,0,1,Medium Risk
STU0255,42.7,68.3,7.95,68.0,33.6,3.8,0,6.2,0,1,Medium Risk
STU0256,87.1,43.0,8.42,75.5,53.6,0.5,0,8.3,0,0,Low Risk
STU0257,73.6,61.9,7.26,59.4,67.8,3.3,1,9.7,4,1,Medium Risk
STU0258,55.2,77.5,5.26,70.0,100.0,4.5,1,8.3,1,1,Medium Risk
STU0259,88.2,63.0,6.0,54.4,94.8,1.5,0,6.0,1,1,Medium Risk
STU0260,77.6,68.1,9.16,51.2,85.5,5.3,0,5.3,1,1,Medium Risk
STU0261,44.6,17.4,4.74,45.8,91.4,3.0,0,8.8,0,2,High Risk
STU0262,69.2,54.7,4.96,66.0,82.0,0.2,2,7.2,1,1,Medium Risk
STU0263,51.8,76.2,4.75,71.4,66.4,0.4,4,7.1,0,1,Medium Risk
STU0264,63.8,71.1,7.54,19.2,45.6,0.2,0,7.4,0,1,Medium Risk
STU0265,90.2,89.9,8.25,76.1,59.5,0.2,2,7.9,0,0,Low Risk
STU0266,61.2,83.4,7.81,79.9,30.9,3.1,1,10.5,0,1,Medium Risk
STU0267,17.0,74.1,5.81,75.6,16.5,4.4,0,7.5,1,1,Medium Risk
STU0268,70.0,18.0,5.35,59.7,34.9,1.2,0,6.9,0,2,High Risk
STU0269,94.3,79.1,6.59,74.5,55.0,0.6,4,7.6,0,1,Medium Risk
STU0270,97.5,65.2,7.66,54.5,22.8,2.2,1,9.7,0,1,Medium Risk
STU0271,72.1,81.7,4.73,85.9,66.9,4.5,4,8.1,0,1,Medium Risk
STU0272,48.0,15.0,6.33,18.9,88.2,0.1,0,8.2,0,2,High Risk
STU0273,57.0,49.7,7.22,50.2,61.5,2.0,0,7.8,0,1,Medium Risk
STU0274,62.8,55.6,8.8,57.5,94.0,1.2,2,8.6,0,1,Medium Risk
STU0275,55.0,60.4,5.42,65.8,93.5,2.1,3,7.3,0,1,Medium Risk
STU0276,86.5,84.8,7.62,81.7,64.8,1.8,1,5.5,0,1,Medium Risk
STU0277,62.8,74.6,5.19,88.7,91.0,2.0,1,8.1,0,1,Medium Risk
STU0278,62.5,58.2,6.61,79.0,64.9,1.0,1,6.8,0,1,Medium Risk
STU0279,80.9,75.0,6.49,85.7,41.5,1.5,1,8.9,0,0,Low Risk
STU0280,83.7,46.2,9.17,79.9,69.7,4.1,1,6.0,0,1,Medium Risk
STU0281,81.1,90.1,6.85,87.5,53.4,3.5,1,5.5,0,0,Low Risk
STU0282,26.2,15.8,7.0,40.6,97.2,4.6,4,6.9,2,2,High Risk
STU0283,76.4,35.5,8.13,60.3,47.0,4.2,4,7.9,0,1,Medium Risk
STU0284,46.7,27.0,7.03,73.4,81.6,3.2,0,7.2,0,1,Medium Risk
STU0285,78.2,52.3,6.36,94.6,85.4,3.6,1,9.0,0,1,Medium Risk
STU0286,32.0,80.4,8.66,86.0,56.9,2.3,5,4.5,0,1,Medium Risk
STU0287,43.2,85.1,8.17,84.8,93.2,2.3,0,7.7,3,0,Low Risk
STU0288,77.5,37.5,6.99,50.9,64.3,0.5,1,7.3,0,1,Medium Risk
STU0289,72.4,63.5,5.84,51.3,81.5,3.4,0,7.5,0,1,Medium Risk
STU0290,80.8,74.2,7.45,65.7,89.8,4.1,1,7.6,1,1,Medium Risk
STU0291,73.4,46.7,6.71,57.9,77.1,3.4,2,4.8,4,1,Medium Risk
STU0292,97.0,73.2,5.55,69.9,72.3,5.2,0,7.3,1,0,Low Risk
STU0293,73.0,36.6,4.34,69.1,95.7,3.6,1,6.7,1,1,Medium Risk
STU0294,87.1,42.0,8.28,88.1,98.7,2.1,0,8.3,0,0,Low Risk
STU0295,64.0,80.4,7.23,55.5,70.5,1.8,0,3.0,1,1,Medium Risk
STU0296,86.0,81.7,7.13,71.8,53.7,2.1,1,5.8,1,1,Medium Risk
STU0297,93.7,56.8,7.78,99.2,100.0,0.6,1,7.8,0,0,Low Risk
STU0298,49.9,66.7,9.22,58.2,38.8,0.0,0,4.4,0,1,Medium Risk
STU0299,51.3,66.8,3.9,28.1,32.0,4.4,4,6.4,0,1,Medium Risk
STU0300,59.3,61.0,6.51,73.3,57.3,3.4,1,7.3,1,1,Medium Risk
STU0301,80.9,64.3,7.06,75.4,38.6,4.0,0,7.3,3,1,Medium Risk
STU0302,58.1,83.9,6.24,94.0,89.8,0.0,0,5.0,1,0,Low Risk
